Year,Player,TEAM,AGE,GP,W,L,MIN,DEFRTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,"OPP PTS
OFF TOV ","OPP PTS
2ND CHANCE ","OPP PTS
FB ","OPP PTS
PAINT ",DEFWS,All Defense,DPOY,Over5,Over4,Over3,Under3,Under100
2019,Leilani Mitchell ,PHO ,34,32,14,18,971,99,80,7.8,12.4,30,22.1,10,8.9,327,249,224,842,2.9,0,0,0,0,0,1,1
2019,Brittney Sykes ,ATL ,25,34,8,26,880,98,126,13,21.1,20,14,16,13,337,293,212,760,2.9,0,0,0,0,0,1,1
2019,Stephanie Talbot ,MIN ,25,33,18,15,561,94,61,11.2,17.5,30,26.1,9,18,246,131,111,406,2.9,0,0,0,0,0,1,1
2019,Erica Wheeler ,IND ,28,34,13,21,850,98,97,10.8,16.8,40,30.8,5,6.8,323,249,158,646,2.8,0,0,0,0,0,1,1
2019,Riquna Williams ,LAS ,29,23,15,8,593,95,47,7.4,12.2,26,22.8,4,7.7,230,189,124,466,2.8,0,0,0,0,0,1,1
2019,Courtney Vandersloot ,CHI ,30,33,20,13,991,100,123,10.9,17.3,45,28.8,15,13.3,350,315,187,906,2.7,0,0,0,0,0,1,0
2019,Camille Little ,PHO ,34,29,13,16,425,91,50,10.9,19.4,11,20.8,8,22.2,153,123,82,340,2.7,0,0,0,0,0,1,1
2019,Allie Quigley ,CHI ,33,34,20,14,972,100,88,8.3,13.1,27,17.6,7,6.3,344,304,209,904,2.6,0,0,0,0,0,1,0
2019,Allisha Gray ,DAL ,24,34,10,24,1035,100,96,9.8,15.8,42,20.4,14,15.2,411,291,236,868,2.6,0,0,0,0,0,1,0
2019,Candice Dupree ,IND ,35,34,13,21,1043,100,146,13.4,21.2,15,9.4,19,21.1,404,307,200,852,2.6,0,0,0,0,0,1,0
2019,Sami Whitcomb ,SEA ,31,33,17,16,674,98,40,6.3,10.6,36,23.1,4,6,317,187,167,550,2.4,0,0,0,0,0,1,1
2019,Jessica Breland ,ATL ,31,33,7,26,767,99,198,24,38.6,42,31.6,35,35,304,243,190,658,2.4,0,0,0,0,0,1,1
2019,Kayla Thornton ,DAL ,27,27,7,20,822,99,94,11.9,19,24,16.9,8,10.5,321,194,195,632,2.4,0,0,0,0,0,1,1
2019,Crystal Langhorne ,SEA ,33,34,18,16,578,97,79,13.7,22.8,10,8.5,9,17,272,153,158,482,2.3,0,0,0,0,0,1,1
2019,Candace Parker ,LAS ,33,22,14,8,571,97,116,19.4,30.8,23,22.1,17,37.8,217,172,126,448,2.3,0,0,0,0,0,1,1
2019,Gabby Williams ,CHI ,23,33,20,13,527,96,58,9.8,16.5,23,22.8,7,12.7,228,175,109,480,2.3,0,0,0,0,0,1,1
2019,Brittney Griner ,PHO ,29,31,13,18,1018,101,171,15.8,25.2,22,14.8,62,53.4,344,274,235,860,2.3,1,0,0,0,0,1,0
2019,Sugar Rodgers ,LVA ,29,33,20,13,382,92,44,11.1,17,13,16.5,12,30,143,84,59,244,2.3,0,0,0,0,0,1,1
2019,Tiffany Hayes ,ATL ,30,29,7,22,817,100,66,7.5,12.5,29,22.1,8,7.7,334,269,179,662,2.3,0,0,0,0,0,1,0
2019,Teaira McCowan ,IND ,23,34,13,21,752,99,197,25,40.1,20,16,44,57.9,290,196,139,578,2.2,0,0,0,0,0,1,1
2019,Emma Meesseman ,WAS ,26,23,19,4,543,97,70,13.1,21.1,20,20.8,15,27.3,177,138,84,446,2.2,0,0,0,0,0,1,1
2019,Aerial Powers ,WAS ,25,30,23,7,593,98,62,10.8,17,25,19.5,6,9.7,210,168,93,532,2.2,0,0,0,0,0,1,1
2019,Shatori Walker-Kimbrough ,WAS ,24,34,26,8,580,98,36,6.2,10.4,28,23.7,8,13.1,203,169,114,530,2.2,0,0,0,0,0,1,1
2019,Brooke McCarty-Williams ,DAL ,24,34,10,24,447,95,35,8.1,13.8,16,20,1,2.1,169,124,85,320,2.1,0,0,0,0,0,1,1
2019,Jantel Lavender ,CHI ,30,23,14,9,619,98,112,16,24.2,7,7.4,13,19.7,254,186,148,576,2.1,0,0,0,0,0,1,1
2019,Rebecca Allen ,NYL ,26,24,4,20,412,95,49,11.9,18.1,12,16.9,18,47.4,165,89,54,282,2.1,0,0,0,0,0,1,1
2019,Monique Billings ,ATL ,23,29,8,21,553,97,140,23.6,40.3,17,21.5,12,17.9,232,172,106,448,2,0,0,0,0,0,1,1
2019,Betnijah Laney ,IND ,26,34,13,21,878,101,111,12.4,20.3,48,33.1,4,5.5,309,256,160,692,2,0,0,0,0,0,1,0
2019,Kahleah Copper ,CHI ,25,34,20,14,502,97,52,9.3,15.8,14,15.7,3,5.5,234,165,113,470,2,0,0,0,0,0,1,1
2019,Isabelle Harrison ,DAL ,26,31,8,23,795,100,109,14.5,23.4,35,23.6,25,34.7,274,203,197,660,2,0,0,0,0,0,1,0
2019,Essence Carson ,PHO ,33,23,11,12,425,95,40,8.8,14.3,12,15.8,8,17.8,129,111,89,312,2,0,0,0,0,0,1,1
2019,Nayo Raincock-Ekunwe ,NYL ,28,28,7,21,367,94,38,10.4,17.5,8,10.7,4,13.8,154,97,68,266,1.9,0,0,0,0,0,1,1
2019,Theresa Plaisance ,CON ,27,31,12,19,442,95,89,21,32,9,13.8,19,51.4,180,105,107,342,1.9,0,0,0,0,0,1,1
2019,Kelsey Mitchell ,IND ,23,34,13,21,852,101,52,5.7,9.7,15,11.1,4,5.1,325,247,163,704,1.9,0,0,0,0,0,1,0
2019,Kristi Toliver ,WAS ,32,23,16,7,678,100,56,8.2,13.4,27,23.7,2,2.5,161,215,83,556,1.8,0,0,0,0,0,1,0
2019,Bria Holmes ,CON ,25,34,23,11,529,98,39,7.9,12.1,16,13.7,7,17.5,211,138,96,454,1.8,0,0,0,0,0,1,1
2019,Marie Gülich ,ATL ,25,31,6,25,349,94,50,13.6,21.8,5,8.9,24,53.3,149,104,59,258,1.8,0,0,0,0,0,1,1
2019,Shavonte Zellous ,SEA ,33,31,16,15,432,96,42,10.1,15.9,10,12.5,6,15.8,203,101,116,362,1.8,0,0,0,0,0,1,1
2019,Marina Mabrey ,LAS ,23,31,21,10,355,95,32,8.5,15.2,19,22.4,7,19.4,168,135,70,310,1.7,0,0,0,0,0,1,1
2019,Yvonne Turner ,PHO ,32,29,11,18,595,99,72,11.4,18.5,18,20.9,2,3.3,239,169,136,528,1.7,0,0,0,0,0,1,1
2019,Cheyenne Parker ,CHI ,27,34,20,14,670,100,135,17.9,31.2,25,19.5,42,49.4,277,244,135,648,1.7,0,0,0,0,0,1,0
2019,Arike Ogunbowale ,DAL ,22,33,10,23,1059,103,60,6.1,9.8,35,17.9,1,1,415,280,276,928,1.7,0,0,0,0,0,1,0
2019,Natalie Achonwa ,IND ,26,30,12,18,633,100,108,16.6,27.1,18,17.8,20,37.7,229,196,105,482,1.7,0,0,0,0,0,1,0
2019,Temi Fagbenle ,MIN ,27,18,9,9,271,92,30,11.5,18.3,6,10.9,6,30,102,86,57,226,1.6,0,0,0,0,0,1,1
2019,Alex Bentley ,ATL ,29,29,7,22,634,101,44,6.4,11.4,21,20.2,9,10.3,288,233,132,528,1.5,0,0,0,0,0,1,0
2019,Kalani Brown ,LAS ,22,28,19,9,377,97,64,15.4,26.8,9,13.8,22,53.7,159,118,93,300,1.4,0,0,0,0,0,1,1
2019,Tanisha Wright ,NYL ,35,31,9,22,613,101,65,10.3,16.7,32,31.7,9,15.8,273,203,103,478,1.4,0,0,0,0,0,1,0
2019,Sophie Cunningham ,PHO ,23,32,15,17,389,98,39,9.7,17.2,11,19,4,10.3,150,112,96,328,1.4,0,0,0,0,0,1,1
2019,Imani McGee-Stafford ,DAL ,25,29,9,20,346,97,67,20.2,33,17,23.9,18,54.5,154,89,65,236,1.4,0,0,0,0,0,1,1
2019,Brianna Turner ,PHO ,23,29,11,18,462,100,75,15.3,25.3,7,9.7,21,36.8,165,132,106,418,1.3,0,0,0,0,0,1,0
2019,Reshanda Gray ,NYL ,26,34,10,24,519,101,114,20.7,34,16,19,7,14.3,247,148,100,386,1.3,0,0,0,0,0,1,0
2019,Tianna Hawkins ,WAS ,28,31,23,8,477,100,83,18.1,29.2,14,15.9,4,8.7,154,128,88,440,1.3,0,0,0,0,0,1,0
2019,Kaela Davis ,DAL ,24,33,10,23,634,102,57,9.4,15.7,18,16.1,6,9,266,175,175,524,1.2,0,0,0,0,0,1,0
2019,Asia Durr ,NYL ,22,18,6,12,480,101,24,4.8,7.6,10,11.1,7,13.7,217,147,106,420,1.1,0,0,0,0,0,1,0
2019,Tiffany Mitchell ,IND ,25,33,12,21,833,104,72,8.4,13.5,19,15.3,3,4,342,261,146,660,1.1,0,0,0,0,0,1,0
2019,Kaleena Mosqueda-Lewis ,SEA ,25,31,17,14,435,101,27,6.4,10.5,8,10.3,5,12.2,194,121,121,370,1,0,0,0,0,0,1,0
2019,Rachel Banham ,CON ,26,29,19,10,353,100,29,8.5,13.9,8,11.9,2,6.5,154,98,53,310,0.9,0,0,0,0,0,1,0
2019,Morgan Tuck ,CON ,25,33,23,10,352,100,48,13.9,21.1,13,22.4,3,9.1,146,93,63,288,0.9,0,0,0,0,0,1,0
2019,Carolyn Swords ,LVA ,30,29,17,12,257,98,44,16.4,25.3,7,15.9,3,14.3,113,46,51,158,0.9,0,0,0,0,0,1,1
2019,Glory Johnson ,DAL ,29,28,7,21,676,103,117,18.1,29.8,39,32,18,27.3,235,182,166,580,0.9,0,0,0,0,0,1,0
2019,Astou Ndour ,CHI ,25,21,14,7,368,101,58,14.6,23.3,10,15.6,14,30.4,133,119,88,340,0.8,0,0,0,0,0,1,0
2019,Kennedy Burke ,IND ,22,31,11,20,423,102,27,5.9,9.3,18,29,10,20.4,193,113,87,336,0.7,0,0,0,0,0,1,0
2019,Marine Johannes ,NYL ,24,19,3,16,345,102,25,7.1,12.1,8,14.5,3,9.7,139,107,58,276,0.7,0,0,0,0,0,1,0
2019,Nia Coffey ,ATL ,24,28,5,23,389,102,55,13.4,23.6,14,21.9,13,25.5,174,136,78,280,0.7,0,0,0,0,0,1,0
2019,Brittany Boyd ,NYL ,26,33,10,23,649,104,94,14.6,23,47,39.8,4,8.3,293,187,135,554,0.6,0,0,0,0,0,1,0
2019,Kristine Anigwe ,DAL ,22,27,14,13,251,101,38,16.5,27.1,9,18.4,8,53.3,114,65,42,220,0.6,0,0,0,0,0,1,0
2019,Kia Nurse ,NYL ,23,34,10,24,1001,106,66,6.4,10.4,25,15,4,4.6,440,342,186,836,0.4,0,0,0,0,0,1,0
2019,Bria Hartley ,NYL ,27,24,4,20,545,105,59,10.4,16.7,18,24,1,1.8,237,169,79,412,0.4,0,0,0,0,0,1,0
2019,Amanda Zahui B ,NYL ,26,24,6,18,558,105,126,21.6,34.5,26,27.1,33,53.2,229,197,111,484,0.3,0,0,0,0,0,1,0
2019,Tina Charles ,NYL ,30,33,10,23,1028,106,184,17.5,27.8,23,14,29,31.5,474,335,177,868,0.1,0,0,0,0,0,1,0
